product_name,price,product_url,image_url,category_name
KIRMIZI İNCE PARALI  SEPET TAKIMI,"1.000,00₺",https://istockina.com/urun/kirmizi-ince-parali-sepet-takimi/,https://istockina.com/wp-content/uploads/2025/10/kirmizi-INCE-PARALI-SEPET-TAKIMI-768x1152.jpg,Kina Malzemeleri
LACİVERT İNCE PARALI  SEPET TAKIMI,"1.000,00₺",https://istockina.com/urun/lacivert-ince-parali-sepet-takimi/,https://istockina.com/wp-content/uploads/2025/10/LACIVERT-INCE-PARALI-SEPET-TAKIMI-768x1152.jpg,Kina Malzemeleri
ASETATLI KIRMIZI KUMAŞ GÜLLÜ İNCİLİ GELİN TACI,"25,00₺",https://istockina.com/urun/asetatli-kirmizi-kumas-gullu-incili-gelin-taci/,https://istockina.com/wp-content/uploads/2025/10/e4335b50-afa4-4073-af48-5bdba013e4fa.jpg,Kina Malzemeleri
SÜSLÜ TÜYLÜ AHŞAP YELPAZE 12’Lİ 5 RENK,"50,00₺",https://istockina.com/urun/suslu-tuylu-ahsap-yelpaze-12li-5-renk/,https://istockina.com/wp-content/uploads/2025/10/SUSLU-BEYAZ-AHSAP-YELPAZE-768x1152.jpg,Kina Malzemeleri
HESAPLI KADİFE SİMLİ GELİN KEMERİ,"35,00₺",https://istockina.com/urun/hesapli-kadife-simli-gelin-kemeri/,https://istockina.com/wp-content/uploads/2025/10/HESAPLI-KADIFE-GELIN-KEMERI-768x1152.jpg,Kina Malzemeleri
YELPAZE SAÇAKLI EKONOMİK 140 CM,"225,00₺",https://istockina.com/urun/yelpaze-sacakli-ekonomik-140-cm/,https://istockina.com/wp-content/uploads/2025/10/BEYAZ-SACAKLI-YELPAZE-768x1152.jpg,Kina Malzemeleri
LACİVERT KUMAŞ GÜLLÜ 30 CM ŞEFFAF APLİK SÜSLEMELİ TEF,"180,00₺",https://istockina.com/urun/lacivert-kumas-gullu-30-cm-seffaf-aplik-suslemeli-tef/,https://istockina.com/wp-content/uploads/2025/10/LACIVERT-APLIKLI-TEF-768x1152.jpg,Kina Malzemeleri
YEŞİL KUMAŞ GÜLLÜ 30 CM ŞEFFAF APLİK SÜSLEMELİ TEF,"180,00₺",https://istockina.com/urun/yesil-kumas-gullu-30-cm-seffaf-aplik-suslemeli-tef/,https://istockina.com/wp-content/uploads/2025/10/YESIL-APLIKLI-TEF-768x1152.jpg,Kina Malzemeleri
BEYAZ KUMAŞ GÜLLÜ 30 CM ŞEFFAF APLİK SÜSLEMELİ TEF,"180,00₺",https://istockina.com/urun/beyaz-kumas-gullu-30-cm-seffaf-aplik-suslemeli-tef/,https://istockina.com/wp-content/uploads/2025/10/BEYAZ-APLIKLI-TEF-768x1152.jpg,Kina Malzemeleri
PAPATYA KINA 50’Lİ,"60,00₺",https://istockina.com/urun/papatya-kina-50li/,https://istockina.com/wp-content/uploads/2025/10/PAPATYA-KINA-50LI-768x1152.jpg,Kina Malzemeleri
